ID_PRC;ID_LOGRADOURO;TIPO_LOGRADOURO;NOME_LOGRADOURO;GEOMETRIA
317;78888;PRACA;ANGELINO BRUSCHI;POLYGON ((613588.92 7793187.10, 613588.91 7793187.39, 613588.89 7793187.69, 613588.83 7793187.97, 613588.78 7793188.26, 613588.69 7793188.53, 613588.59 7793188.82, 613588.48 7793189.08, 613588.34 7793189.33, 613588.21 7793189.58, 613588.04 7793189.82, 613587.86 7793190.05, 613587.66 7793190.27, 613587.46 7793190.48, 613587.24 7793190.67, 613587.00 7793190.85, 613586.76 7793191.02, 613586.52 7793191.16, 613586.25 7793191.29, 613585.98 7793191.41, 613585.71 7793191.52, 613585.43 7793191.60, 613585.15 7793191.67, 613584.85 7793191.72, 613584.56 7793191.74, 613584.27 7793191.76, 613583.98 7793191.76, 613583.68 7793191.74, 613583.38 7793191.69, 613583.09 7793191.64, 613582.82 7793191.57, 613582.54 7793191.48, 613582.27 7793191.35, 613582.00 7793191.23, 613581.74 7793191.09, 613581.50 7793190.94, 613581.26 7793190.76, 613581.03 7793190.58, 613580.83 7793190.37, 613580.63 7793190.16, 613580.44 7793189.94, 613580.27 7793189.71, 613580.11 7793189.46, 613579.96 7793189.20, 613579.85 7793188.95, 613579.74 7793188.66, 613579.64 7793188.39, 613579.57 7793188.12, 613579.52 7793187.83, 613579.49 7793187.55, 613579.47 7793187.25, 613579.47 7793186.97, 613579.49 7793186.67, 613579.52 7793186.39, 613579.57 7793186.10, 613579.64 7793185.83, 613579.74 7793185.56, 613579.85 7793185.27, 613579.96 7793185.02, 613580.11 7793184.76, 613580.27 7793184.51, 613580.44 7793184.28, 613580.63 7793184.06, 613580.83 7793183.85, 613581.03 7793183.64, 613581.26 7793183.46, 613581.50 7793183.28, 613581.74 7793183.13, 613582.00 7793182.99, 613582.27 7793182.87, 613582.54 7793182.74, 613582.82 7793182.65, 613583.09 7793182.58, 613583.38 7793182.53, 613583.68 7793182.48, 613583.98 7793182.46, 613584.27 7793182.46, 613584.56 7793182.48, 613584.85 7793182.50, 613585.15 7793182.55, 613585.43 7793182.62, 613585.71 7793182.70, 613585.98 7793182.81, 613586.25 7793182.93, 613586.52 7793183.06, 613586.76 7793183.20, 613587.00 7793183.37, 613587.24 7793183.55, 613587.46 7793183.74, 613587.66 7793183.95, 613587.86 7793184.17, 613588.04 7793184.40, 613588.21 7793184.64, 613588.34 7793184.89, 613588.48 7793185.14, 613588.59 7793185.40, 613588.69 7793185.69, 613588.78 7793185.96, 613588.83 7793186.25, 613588.89 7793186.53, 613588.91 7793186.83, 613588.92 7793187.10))
318;9903;PRACA;ENGENHEIRO FLAVIO GUTIERREZ;POLYGON ((613669.51 7792604.87, 613669.50 7792605.19, 613669.46 7792605.51, 613669.42 7792605.81, 613669.36 7792606.12, 613669.28 7792606.42, 613669.17 7792606.72, 613669.05 7792607.01, 613668.93 7792607.29, 613668.77 7792607.56, 613668.59 7792607.81, 613668.42 7792608.05, 613668.21 7792608.30, 613668.00 7792608.53, 613667.77 7792608.73, 613667.55 7792608.93, 613667.29 7792609.11, 613667.04 7792609.27, 613666.76 7792609.42, 613666.48 7792609.55, 613666.21 7792609.66, 613665.92 7792609.76, 613665.61 7792609.82, 613665.32 7792609.87, 613665.02 7792609.91, 613664.72 7792609.92, 613664.41 7792609.92, 613664.12 7792609.88, 613663.82 7792609.86, 613663.51 7792609.78, 613663.22 7792609.70, 613662.94 7792609.60, 613662.66 7792609.48, 613662.38 7792609.35, 613662.12 7792609.18, 613661.88 7792609.02, 613661.62 7792608.84, 613661.40 7792608.63, 613661.17 7792608.42, 613660.96 7792608.18, 613660.78 7792607.94, 613660.61 7792607.69, 613660.43 7792607.41, 613660.30 7792607.14, 613660.16 7792606.86, 613660.07 7792606.57, 613659.96 7792606.27, 613659.89 7792605.96, 613659.84 7792605.65, 613659.80 7792605.35, 613659.78 7792605.03, 613659.78 7792604.72, 613659.80 7792604.41, 613659.84 7792604.10, 613659.89 7792603.79, 613659.96 7792603.48, 613660.07 7792603.18, 613660.16 7792602.89, 613660.30 7792602.60, 613660.43 7792602.33, 613660.61 7792602.05, 613660.78 7792601.80, 613660.96 7792601.56, 613661.17 7792601.32, 613661.40 7792601.11, 613661.62 7792600.90, 613661.88 7792600.72, 613662.12 7792600.56, 613662.38 7792600.39, 613662.66 7792600.26, 613662.94 7792600.14, 613663.22 7792600.04, 613663.51 7792599.96, 613663.82 7792599.88, 613664.12 7792599.86, 613664.41 7792599.82, 613664.72 7792599.82, 613665.02 7792599.83, 613665.32 7792599.87, 613665.61 7792599.92, 613665.92 7792599.98, 613666.21 7792600.08, 613666.48 7792600.19, 613666.76 7792600.32, 613667.04 7792600.47, 613667.29 7792600.63, 613667.55 7792600.81, 613667.77 7792601.01, 613668.00 7792601.21, 613668.21 7792601.44, 613668.42 7792601.69, 613668.59 7792601.93, 613668.77 7792602.18, 613668.93 7792602.45, 613669.05 7792602.74, 613669.17 7792603.03, 613669.28 7792603.33, 613669.36 7792603.63, 613669.42 7792603.94, 613669.46 7792604.24, 613669.50 7792604.57, 613669.51 7792604.87))
319;78890;PRACA;LUIZ OTAVIO FRAGA;POLYGON ((614065.39 7793194.94, 614122.73 7793228.63, 614123.73 7793230.08, 614124.51 7793233.32, 614124.96 7793236.22, 614125.07 7793238.23, 614124.98 7793240.17, 614124.18 7793242.33, 614074.32 7793283.43, 614073.01 7793284.39, 614070.12 7793285.27, 614068.10 7793285.44, 614066.35 7793285.24, 614064.77 7793284.75, 614063.35 7793284.04, 614062.82 7793283.68, 614062.15 7793283.03, 614060.99 7793281.35, 614050.99 7793240.46, 614049.21 7793231.87, 614048.99 7793226.29, 614049.32 7793217.47, 614050.88 7793206.88, 614052.44 7793199.52, 614054.45 7793195.95, 614057.58 7793194.94, 614061.93 7793194.61, 614065.39 7793194.94))
4387;313778;PRACA;QUATRO MIL NOVECENTOS E QUARENTA E SETE;POLYGON ((614398.52 7795661.81, 614409.58 7795650.01, 614411.13 7795648.12, 614414.23 7795643.13, 614417.54 7795637.19, 614419.15 7795631.39, 614420.84 7795624.92, 614425.63 7795625.79, 614423.00 7795638.02, 614433.53 7795640.32, 614432.62 7795642.11, 614432.19 7795643.13, 614430.74 7795649.48, 614429.44 7795652.06, 614428.32 7795653.41, 614426.86 7795654.48, 614424.93 7795655.40, 614422.02 7795656.74, 614417.99 7795658.30, 614416.00 7795658.89, 614413.04 7795659.38, 614408.31 7795660.18, 614404.92 7795660.88, 614401.85 7795661.75, 614399.82 7795662.69, 614398.52 7795661.81))
322;300101;PRACA;ROMEU MOREIRA GODOY;POLYGON ((609540.14 7792686.79, 609540.33 7792685.78, 609542.77 7792685.54, 609546.48 7792684.82, 609549.36 7792683.74, 609553.91 7792679.85, 609556.72 7792674.41, 609558.52 7792674.65, 609558.69 7792701.57, 609556.60 7792700.20, 609540.14 7792686.79))
228;61200;PRACA;SANTA RITA;POLYGON ((614407.20 7798463.93, 614407.15 7798465.24, 614407.02 7798466.54, 614406.81 7798467.83, 614406.53 7798469.10, 614406.16 7798470.36, 614405.71 7798471.60, 614405.19 7798472.80, 614404.58 7798473.97, 614403.91 7798475.09, 614403.17 7798476.18, 614402.36 7798477.21, 614401.48 7798478.20, 614400.54 7798479.13, 614399.53 7798480.00, 614398.48 7798480.81, 614397.39 7798481.55, 614396.25 7798482.23, 614395.05 7798482.84, 614393.83 7798483.37, 614392.58 7798483.83, 614391.28 7798484.21, 614390.00 7798484.51, 614388.68 7798484.73, 614387.34 7798484.87, 614386.01 7798484.93, 614384.67 7798484.91, 614383.33 7798484.81, 614382.00 7798484.63, 614380.70 7798484.36, 614379.41 7798484.03, 614378.14 7798483.61, 614376.90 7798483.12, 614375.69 7798482.54, 614374.54 7798481.90, 614373.41 7798481.19, 614372.33 7798480.41, 614371.31 7798479.57, 614370.34 7798478.67, 614369.43 7798477.71, 614368.58 7798476.70, 614367.80 7798475.64, 614367.09 7798474.54, 614366.46 7798473.38, 614365.89 7798472.20, 614365.40 7798470.98, 614364.99 7798469.74, 614364.66 7798468.47, 614364.41 7798467.18, 614364.25 7798465.89, 614364.16 7798464.59, 614364.16 7798463.28, 614364.25 7798461.98, 614364.41 7798460.69, 614364.66 7798459.40, 614364.99 7798458.14, 614365.40 7798456.91, 614365.89 7798455.69, 614366.46 7798454.52, 614367.09 7798453.36, 614367.80 7798452.26, 614368.58 7798451.20, 614369.43 7798450.19, 614370.34 7798449.23, 614371.31 7798448.33, 614372.33 7798447.49, 614373.41 7798446.71, 614374.54 7798446.00, 614375.69 7798445.36, 614376.90 7798444.78, 614378.14 7798444.29, 614379.41 7798443.87, 614380.70 7798443.54, 614382.00 7798443.27, 614383.33 7798443.09, 614384.67 7798442.99, 614386.01 7798442.97, 614387.34 7798443.03, 614388.68 7798443.17, 614390.00 7798443.39, 614391.28 7798443.69, 614392.58 7798444.07, 614393.83 7798444.53, 614395.05 7798445.06, 614396.25 7798445.67, 614397.39 7798446.35, 614398.48 7798447.09, 614399.53 7798447.90, 614400.54 7798448.77, 614401.48 7798449.70, 614402.36 7798450.69, 614403.17 7798451.72, 614403.91 7798452.81, 614404.58 7798453.93, 614405.19 7798455.10, 614405.71 7798456.29, 614406.16 7798457.52, 614406.53 7798458.78, 614406.81 7798460.04, 614407.02 7798461.33, 614407.15 7798462.63, 614407.20 7798463.93))
231;39975;PRACA;DO SAMBA;POLYGON ((612428.49 7802864.96, 612427.29 7802863.94, 612427.48 7802862.38, 612433.92 7802836.02, 612434.46 7802834.85, 612435.21 7802833.84, 612435.96 7802833.43, 612436.76 7802833.47, 612455.24 7802838.10, 612484.79 7802845.76, 612485.57 7802846.65, 612485.44 7802848.63, 612484.49 7802849.59, 612428.49 7802864.96))
233;301427;PRACA;RUBEM DARIO;POLYGON ((614145.03 7802912.29, 614144.79 7802910.79, 614145.03 7802908.88, 614152.03 7802895.42, 614157.29 7802888.72, 614172.07 7802874.36, 614175.90 7802871.54, 614173.98 7802892.07, 614171.71 7802915.10, 614145.03 7802912.29))
234;300247;PRACA;SEM NOME;POLYGON ((614342.81 7802987.83, 614354.00 7802959.10, 614355.79 7802956.05, 614358.66 7802954.14, 614362.01 7802953.96, 614365.90 7802953.96, 614369.12 7802953.76, 614371.35 7802954.73, 614372.60 7802956.59, 614373.14 7802960.60, 614374.27 7802992.61, 614342.81 7802987.83))
236;303945;PRACA;PAULO HONORATO DE ARAUJO;POLYGON ((615410.22 7802924.36, 615409.87 7802922.58, 615410.22 7802921.16, 615410.69 7802919.76, 615411.85 7802918.24, 615413.35 7802917.22, 615415.23 7802917.09, 615417.20 7802917.34, 615418.47 7802918.36, 615419.87 7802920.15, 615420.21 7802921.43, 615420.33 7802922.96, 615419.87 7802924.62, 615418.94 7802925.91, 615418.00 7802926.78, 615416.97 7802927.43, 615415.56 7802927.68, 615413.47 7802927.43, 615411.62 7802926.27, 615410.22 7802924.36))
